OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7823,4173,1959,6481,7886,1313,7466,9920,1997,6167
-,1104,9194,1679,817,5685,154,2025,9169,2815,6149
+,1833,2868,1074,6117,8420,2615,6158,8811,9316,6171
+,7921,3206,5570,1553,1301,1647,9335,5292,472,2700
+,2050,214,1452,2307,8178,5416,3004,652,4189,1327
+,4573,495,3720,4134,973,5333,9046,4822,7526,5052
+,8001,9105,6250,7323,7547,708,9679,309,583,8790
+,8798,4549,6730,2904,7905,6579,5778,5341,3574,7588
+,5557,3024,2741,8543,7709,8080,9006,4933,1406,3327
+,8583,7980,8853,8559,1058,1544,1233,5731,1553,9447
+,1885,2065,3455,3488,498,9364,3844,1878,9753,7904
+,9987,4253,8671,4914,1901,5527,9646,8191,265,4079
-,622,7279,2941,6681,1418,289,2562,9059,9489,8253
+,3318,3,5760,9215,9306,7509,8810,4883,4664,3929
+,818,8936,8815,1306,9761,7086,5304,360,1424,6769
+,7703,1074,9402,5947,9356,8993,988,4548,5509,9824
+,8246,9325,7054,1376,1037,8138,5096,3584,5093,5194
+,5742,7105,2257,9399,1685,3239,4089,1377,6100,8294
+,6669,300,5894,9042,4664,8515,5150,3092,7597,2747
+,8991,8330,3867,1988,7881,7099,3140,8185,2831,5229
+,950,467,8261,9470,6107,9434,3403,5345,8873,2508
+,9996,1285,7468,7975,2806,9106,8718,6744,1439,6558
+,6994,2079,643,2148,8264,891,9393,8814,726,7888
-,403,3800,1158,747,5350,7686,477,572,6647,7822
+,2052,1412,8476,3509,1168,1319,6017,3626,7054,8218
+,3360,9922,1074,4456,666,2015,5528,6067,9755,560
+,103,633,5657,6274,2443,6655,5834,1991,2623,3950
+,782,627,9574,9044,1580,2599,5356,6917,730,6271
+,5085,7019,293,4996,846,7062,2927,5238,7796,5732
+,1838,850,9299,1914,1629,8513,9856,22,6040,7628
+,242,1636,6201,9772,3620,7600,4976,5971,5840,8933
+,7162,6829,7656,3528,5628,880,8953,2077,9805,6900
+,8227,86,2323,380,4478,133,610,9628,526,8717
+,3160,6193,3348,7605,2370,6743,475,2435,829,316
-,2510,1099,7959,7716,6037,680,5733,5334,5915,2235
+,1081,2567,7509,225,6234,4340,5545,177,2970,3275
+,6216,2827,5284,7894,6112,9260,7469,476,4795,7359
+,5997,6048,4259,2647,9699,6237,7233,2211,7061,1882
+,2827,5280,1907,5171,8312,219,1697,9987,6188,4608
+,3266,635,1604,2736,9770,3021,1259,3934,4132,1129
+,8924,9175,2603,842,1419,3155,3237,3011,4482,7461
+,4965,3674,6860,1530,7587,2747,7416,2130,133,9077
+,7688,8007,1477,4119,8830,1881,2260,3882,9524,8907
+,2839,3388,2388,3209,6844,9269,4548,7127,9734,1588
+,128,1419,591,4846,7220,5260,77,5015,9251,3445
-,7785,6720,290,3088,8058,1709,1757,1102,5249,5180
+,3898,1977,5108,3951,6413,3154,2515,1979,1232,8852
+,2742,2413,9568,722,9010,9180,1606,6450,8098,2676
+,6932,1428,292,3189,8864,7943,1653,7097,3428,4522
+,4360,5711,9727,8659,1977,5612,5632,6007,2452,3076
+,135,9444,5564,9184,9875,1504,8075,3392,7161,9663
+,9198,9539,6901,3172,8278,1610,4846,7673,697,9417
+,9281,5794,8918,3869,6539,9315,4562,1029,7139,3989
+,6991,2344,4147,3374,2708,8257,3836,6701,7130,8457
+,6133,4937,4236,820,9011,8685,3589,8708,6642,6325
+,3541,6549,9643,8654,2417,7247,744,8221,7613,7544
-,5997,6048,4259,2647,9699,6237,7233,2211,7061,1882
+,6263,8463,9201,4705,2747,7752,1834,8440,5771,7382
+,206,781,5835,734,2888,4207,5009,8431,3577,9121
+,4281,4755,2389,4017,4658,2391,983,8514,7880,9161
+,1095,5985,5915,9238,3367,8906,4736,8885,1866,9686
+,1472,9351,20,2638,1550,5603,1151,7431,9077,4808
+,9372,687,9515,9792,9492,2199,7007,8085,940,5884
+,3947,7111,5893,4663,9079,2438,6120,5097,1872,6905
+,385,5485,9867,8012,7176,2341,4270,8978,3192,5942
+,1109,3671,2775,2142,6080,1903,5921,3709,748,7726
+,6338,6258,3381,8670,2557,8606,3142,2146,1016,7656
-,6009,128,8648,1721,6821,3039,6031,3441,6442,6078
+,1837,7669,2071,4246,1770,7472,3664,4586,1427,8629
+,4774,8482,9538,8799,6664,8940,4639,8204,6326,5657
+,4830,4561,4919,5303,7292,5689,8385,3997,188,4491
+,14,940,4207,5040,9147,5475,5535,4667,2685,7898
+,8887,2494,6068,1847,4333,1547,9226,1599,6667,9989
+,1543,6139,7336,5835,9160,3048,9677,3578,396,5341
+,2829,473,9736,3389,403,2674,1498,8148,7893,4590
+,4251,4872,9602,9837,5764,4435,7451,3251,2708,4258
+,8714,288,2529,6099,6696,2095,686,1202,1706,6787
+,283,6973,6175,7152,8037,3560,901,4869,7001,2582
-,6932,1428,292,3189,8864,7943,1653,7097,3428,4522
+,8766,293,3199,831,1616,9239,4036,7043,5722,2070
+,4536,7467,7743,4056,9338,8424,1472,4925,304,1217
+,9730,1302,2603,6572,1567,5897,4123,3665,837,875
+,6973,8765,2865,6801,3752,4587,3545,7912,3120,729
+,5001,8321,9412,6371,9165,1472,3187,2676,6989,3083
+,3246,6341,4380,4493,8031,8785,6293,4527,5415,4194
+,6409,2426,6829,2304,842,5113,8651,1290,5850,8092
+,8840,845,3277,4857,6734,2451,8814,1500,6030,4162
+,1270,2353,7944,4204,5931,1112,4339,6018,6958,663
+,5349,4146,6912,680,4154,7377,4920,1604,8144,6328
-,193,9570,6844,946,6258,7430,863,9593,1086,7193
+,6483,8259,4455,3069,9499,9084,8329,6375,2558,8720
+,2003,1102,7420,3109,9375,3203,9909,2815,4698,6646
+,321,5623,4572,1044,228,4905,4147,4537,4120,188
+,6258,9383,7114,8526,2113,8909,5975,1909,1966,5450
+,4780,2594,9225,9172,1233,5371,1003,6542,6041,167
+,276,5256,157,2814,313,3717,4620,5815,8666,5047
+,1715,1148,4300,4210,9412,1159,2475,1521,596,349
+,1409,9554,2927,1305,6252,7605,2293,8821,351,8481
+,7013,9679,6201,18,832,6968,9695,1370,2844,6188
+,3027,7226,9204,8662,6731,7355,1513,495,6711,3485
-,9,454,8447,1611,1688,1762,881,1732,2859,8305
+,1041,8941,3719,4048,5686,1117,4399,8585,1088,483
+,4981,7687,9323,6470,6642,2332,9317,3604,7257,1280
+,9570,7697,6012,704,9778,6106,6070,267,3507,1251
+,4077,3292,7809,2789,3098,1793,4451,8788,7499,9384
+,4154,1956,9199,9724,8919,5642,5092,763,7543,2639
+,4574,3350,6856,3739,6027,5289,3085,2297,9391,716
+,2167,9481,7438,7165,6574,4097,9986,911,621,8549
+,6768,1573,225,1166,1128,7773,4545,7602,5675,8057
+,9282,8776,2687,670,4989,220,3083,3921,4710,6143
+,4488,103,7131,522,9084,6280,5861,2957,7149,3741
-,1115,7762,1405,4087,8446,9325,784,5531,7290,9397
+,2199,7485,5555,8518,665,2251,2428,9313,2846,3257
+,3681,330,4767,7130,2499,5113,3791,3280,469,3402
+,8784,6556,3222,8383,1344,6462,6990,6361,1274,8853
+,2924,7271,1307,7667,2602,9076,4278,8328,2710,5962
+,4178,1122,2449,4094,121,9825,821,2415,3198,5536
+,5528,8154,3026,1799,3870,1014,1180,2114,8698,6948
+,2755,1598,1620,6152,7275,7577,7939,564,7909,9454
+,4318,8774,9422,2926,4297,7509,5253,5545,3584,8709
+,1676,36,3251,8876,515,8603,9755,3474,5952,4525
+,6743,3497,8691,8866,4895,5495,5311,564,4711,7785
-,5512,8189,3861,1464,1647,325,5655,4322,4062,2211
+,323,1909,9937,5256,1900,991,5286,9085,2570,8839
+,9741,8902,7830,4534,6801,4719,5901,7653,4335,1837
+,4609,5214,7300,6183,8408,7689,3564,2508,9511,5952
+,5066,888,8236,7347,9140,5001,7287,6790,8945,6288
+,8618,5475,1304,5440,4505,380,4401,3477,6708,4947
+,4899,6023,5514,7564,4354,9607,9067,7341,4093,381
+,809,756,143,7117,3932,7752,4962,1338,1472,2358
+,6497,898,9452,5173,7229,7471,2913,347,1108,6141
+,1455,7844,9926,5735,4148,971,83,619,7634,7697
+,2676,385,3661,1058,7960,1303,3063,5228,5910,5753
-,6497,898,9452,5173,7229,7471,2913,347,1108,6141
+,6570,2272,1966,7662,3947,7092,3362,950,1163,4563
+,4465,8241,7361,3296,2080,4922,3341,6258,2839,7006
+,7143,9033,9258,5002,7962,2047,511,7792,5749,4742
+,7472,5978,9425,9818,963,2917,4594,1477,9137,1273
+,3143,9670,4414,8698,615,4556,4810,9309,8142,6754
+,4531,3459,1713,4114,6419,3888,1300,3066,1193,2650
+,1331,3619,511,3702,6138,5624,5734,3353,6933,2374
+,8902,5883,1310,7690,1300,3785,9381,477,7561,3927
+,7283,5210,9762,4580,2069,1646,3898,9252,1151,5863
+,477,9480,5722,1172,2363,9367,139,7943,4039,5928
-,6048,8231,2863,9675,3984,7741,2233,5643,8899,4180
+,5846,4531,4973,631,5498,7078,2209,7645,4622,3311
+,3505,7007,9321,7229,1522,8982,3705,5585,7156,4380
+,2945,5940,7861,3312,2887,8428,1561,2820,587,7907
+,2085,8585,4919,5261,1099,7443,1763,1445,4415,5238
+,9461,9814,3172,1506,5480,9286,3617,8687,7622,6803
+,2262,7448,9095,2355,4079,4077,3167,598,2845,835
+,3354,7594,7434,836,2376,8981,2310,2800,1805,2859
+,414,5483,7661,7896,4782,4532,9198,3172,1733,6989
+,4410,753,4879,8232,5716,559,2954,641,615,6860
+,4798,8663,2160,7346,8613,3516,8541,5908,2930,1560
-,8673,7288,2914,9884,6054,17,3050,8987,5585,938
+,5003,1948,4587,8400,767,5667,6145,1342,3515,5821
+,1683,159,6247,1147,9623,8492,8598,6911,9749,6549
+,8663,1200,9687,9017,5516,3769,1844,7543,4856,169
+,6272,1612,444,7141,8064,5969,8452,7670,3444,4525
+,1018,4543,4029,9200,3251,7326,4821,160,7089,5011
+,722,5237,4110,4859,5108,2514,3282,5299,7693,1130
+,2896,9786,7034,2255,2275,473,9639,9193,6062,9082
+,955,6142,1555,8692,4422,4836,9754,255,2169,3903
+,990,2662,3783,437,412,4297,5941,6335,8437,8266
+,311,1945,754,9299,5104,2871,1167,8410,6102,4352
-,5829,4070,7555,5150,9085,1878,1898,5397,2536,7301
+,6278,4031,5944,5638,7225,5557,3586,8745,5903,9049
+,8018,1677,1779,7998,7902,483,8420,2436,2554,972
+,1102,9331,1142,312,1025,9623,1170,2592,1784,1131
+,3823,4337,4978,9420,3066,3555,9231,4468,7522,7010
+,9268,4985,1653,5342,539,2991,6287,4242,7863,5264
+,724,2951,4439,9936,919,410,128,2696,2645,3381
+,2903,6447,3648,981,1767,2659,5137,1306,3248,5817
+,7793,4148,5256,3241,3483,853,6096,6716,9075,6970
+,9534,6641,6289,2544,1580,7815,4610,6191,4040,5598
+,2211,6963,7873,4064,5620,863,562,7942,4677,7007
-,8018,1677,1779,7998,7902,483,8420,2436,2554,972
+,5026,1385,6365,8603,6539,1231,894,4267,8064,6815
+,3144,6402,2538,9401,5791,1745,7594,5811,2919,9620
+,7243,8879,6146,8705,4456,4559,3339,1920,5181,8352
+,6443,53,2215,1848,7683,190,7134,2942,6921,6032
+,3150,7687,6880,6392,7231,910,6333,7117,8808,93
+,6267,5855,7846,8871,738,7259,4558,6981,7504,520
+,6651,8473,7461,7574,8388,3098,1019,3051,1386,939
+,9985,6791,1987,3379,7011,6309,6035,1966,72,7709
+,4530,4274,786,5487,353,2687,3715,8219,5272,3329
+,5087,1599,7435,541,3255,701,3681,9827,8215,4785
-,8923,587,4405,3819,5300,3278,6623,6946,6423,1021
+,1735,9677,5224,9013,8745,7938,5836,3868,5288,658
+,7601,2550,704,7225,2874,611,5222,4970,7850,671
+,9361,3467,3914,2348,6851,3328,3022,9969,8380,5137
+,1425,641,1819,1874,916,1066,6635,1770,5719,1795
+,5454,4946,9655,9091,79,5633,7450,1921,1740,1502
+,2845,1463,6657,450,3589,3485,1127,8076,9703,7489
+,922,2085,9862,9724,3058,971,8012,9065,1276,222
+,4359,7349,6799,3366,5889,1141,6243,7967,4065,2478
+,1772,816,7386,8646,2239,1973,7546,1742,2051,5433
+,1301,5205,5322,8760,739,2922,5006,7997,7108,6568
-,3143,9670,4414,8698,615,4556,4810,9309,8142,6754
+,5883,3115,3936,4181,8412,9445,3791,9772,4042,5774
+,4482,7789,4632,5251,1420,4325,8564,8187,6987,7091
+,3739,1084,7028,6672,9373,7522,3164,6523,4013,5983
+,733,3851,1370,8809,2211,6791,6215,6410,4398,1760
+,5705,8176,6933,975,4101,1508,9165,2674,2322,8284
+,2973,856,1493,887,591,2366,2650,1821,421,6569
+,3226,2111,536,1282,1865,9362,2885,8505,2337,9197
+,8613,173,6677,837,4889,2315,7534,4975,2893,9303
+,3907,9014,1173,3077,272,2920,9260,3624,4773,8506
+,655,9348,3852,5041,3681,8853,672,83,7172,4445
-,203,4514,8032,8368,5398,6013,2375,2599,626,1184
+,2151,7174,3111,4318,5657,3695,6418,4895,8680,5775
+,3625,1830,7426,6847,6671,1253,9367,2432,827,4612
+,9081,3104,8978,203,9614,152,464,6104,2098,6048
+,7503,955,3229,8371,4435,1557,130,1228,4492,9154
+,6618,8234,8703,5334,5332,7081,3248,9119,4262,1901
+,7630,4634,7366,7211,2746,1415,848,3810,9357,3722
+,6603,5044,651,3580,2375,2761,3133,5117,4305,9009
+,5122,2473,9544,2968,9699,2007,2379,215,6642,5699
+,7272,1741,6755,6044,9798,8830,9192,155,1591,4678
+,988,3409,6823,8677,9576,7214,5831,3391,3117,30
-,7718,1112,4607,7333,8210,2414,6735,7844,2408,2209
+,184,184,7299,1627,4399,6566,4125,5919,8649,276
+,9808,2470,8458,8264,9474,1267,1638,3084,1917,4109
+,2304,2365,3603,6041,4766,4489,5769,1997,4387,16
+,5998,4377,8241,3235,7048,6491,7587,8955,9827,5324
+,2184,9481,4716,8508,9030,106,9488,1104,7413,2957
+,1509,93,6897,3243,4211,3081,8959,5595,5595,2117
+,433,9713,9387,7377,9795,9955,6098,1312,9020,9032
+,1810,7631,5055,4758,4495,941,858,4277,9171,8176
+,9802,6077,1870,3731,6175,4743,4155,2341,2458,3787
+,5010,6366,2088,839,2180,1273,4914,8979,9361,9937
-,3688,3675,7288,2784,1930,3571,3935,9148,8591,8619
+,7032,4077,1027,7856,3031,4067,4321,2363,2207,189
+,2119,2688,2368,8039,5396,6972,2415,2319,584,3793
+,3821,2284,8652,210,6878,5545,3105,9779,5058,7672
+,2153,4797,3108,7064,7076,9240,9150,3437,652,6862
+,231,6374,3323,1218,766,7828,2355,3189,9397,3326
+,2071,9449,9986,5504,9733,3430,8953,3226,8967,6412
+,4672,5475,4333,3466,5646,2190,9606,4043,2812,1213
+,4141,9683,8526,1414,3900,9212,3554,8116,2939,3585
+,372,5339,5329,6888,3372,9711,7856,4550,6124,452
+,1690,334,3533,9820,4899,9044,5629,3006,4577,5741
-,6159,3018,5814,2046,3817,6578,3390,9248,9655,8873
+,2673,7810,8687,108,8063,3997,9390,6992,5318,6538
+,8376,3508,1440,5662,3469,6957,8466,9926,8954,9082
+,2987,9930,3981,7633,6769,5193,8088,3858,46,8481
+,8652,7689,2971,3930,3939,2723,7976,3067,4478,8263
+,5529,9794,4174,5660,5112,4824,8140,2544,9865,9679
+,2821,8514,4527,9283,3350,6905,5079,2554,2141,892
+,8638,9750,2934,9146,9198,9846,8666,5263,2927,2261
+,1184,1144,2780,5858,4393,2809,1794,6122,4495,643
+,2922,3638,651,647,1478,1357,3797,869,7734,4088
+,4313,5320,9595,6363,2653,7815,4462,4226,602,2466
-,8583,7980,8853,8559,1058,1544,1233,5731,1553,9447
+,9722,9194,8386,3563,2672,7168,8105,9047,1127,5536
+,8814,4081,7642,9358,3588,3289,7052,7369,6386,8130
+,4087,2741,9394,7465,1592,5897,6067,8524,4411,8364
+,7183,5623,4016,6413,3502,774,9730,5842,2895,8669
+,858,4261,7788,5753,5948,6002,972,5148,7306,2040
+,4447,4870,2680,6772,7539,4038,6213,5939,9032,9101
+,5185,6911,7310,4967,9,9271,7473,8425,6919,5967
+,9439,2236,9880,9006,6780,2397,3360,2258,5324,7642
+,9851,2573,3579,4380,2379,3523,9205,1643,1663,6051
+,9191,2243,3502,704,7276,894,558,8243,419,9937
-,7588,8073,6238,6663,6525,7629,9655,9094,8155,2283
+,4277,8068,1884,1825,9095,1282,5598,3753,3485,3647
+,2482,8527,9302,9236,2552,7348,1770,3591,659,4386
+,6833,4162,7434,3925,6467,1100,2846,9597,1681,7047
+,7697,827,1798,798,9501,207,2066,3715,4982,7009
+,9264,836,9000,7355,3247,7938,3765,2413,6257,4373
+,3705,8762,4021,468,3405,6478,6278,692,7473,6425
+,5263,523,6172,2052,8467,8345,515,6902,6928,4153
+,9975,1074,8823,9291,9535,2653,8263,5725,953,2898
+,7266,1274,7110,1594,3947,756,4960,4337,3496,584
+,5407,1739,207,991,7877,208,743,1019,2603,4255
-,4531,3459,1713,4114,6419,3888,1300,3066,1193,2650
+,9133,9874,2765,3944,622,7581,1691,1040,4793,8374
+,5351,9504,2371,4868,1042,5773,2346,2768,3781,4861
+,2689,3414,1116,2267,2181,8287,762,5376,8022,6182
+,9110,8601,9504,8917,8985,1728,2239,6578,6860,5660
+,4856,9070,6117,6484,1652,3276,8930,6233,5985,6176
+,7487,3892,886,4352,1846,9020,647,9125,9554,1312
+,9858,6966,7115,9790,4079,5388,9745,8178,9249,5435
+,3499,521,3856,4155,623,4608,4946,211,768,1541
+,4287,9501,2905,5505,2381,414,7787,3318,3614,3377
+,7425,3377,5160,9746,8636,8155,3923,9861,249,5914
-,3048,7345,4639,9213,8499,3755,4690,1105,2973,4086
+,1063,589,1545,4411,1721,4334,9388,5886,7780,758
+,9013,5902,681,5449,2789,5935,2105,8447,3868,8143
+,9649,1769,5065,5292,225,1841,3743,2404,8629,5958
+,7227,5559,4281,521,4862,1954,9174,7499,8286,7867
+,9591,4766,8929,3272,2496,328,324,5005,3925,4336
+,9968,7352,1233,3,1123,7941,7129,3694,523,3514
+,8405,661,5983,7427,7262,7066,3918,7580,6345,4460
+,2563,470,2130,2866,9290,6171,2343,5067,6186,3066
+,3954,8236,1456,5794,5472,2222,3326,1933,4148,6397
+,8344,1485,1433,331,6618,9568,5472,2431,2800,6189
-,5088,5153,4578,4539,3107,8026,7809,2417,8178,4791
+,7956,6472,9084,6911,3580,810,6129,7421,2877,6183
+,7840,3279,1481,9374,344,4145,3519,3570,9635,4440
+,3929,8178,3392,7248,1354,4114,6992,3576,335,8910
+,500,2021,9429,7404,1204,3263,8772,6200,1439,1454
+,4060,5442,3519,912,8759,4909,8986,7819,750,5131
+,3253,908,96,6423,9352,3562,1708,2338,2760,8562
+,6683,5993,5015,5770,858,9075,9664,3337,439,3493
+,6733,2146,1147,2375,9505,8328,2584,4215,4833,8237
+,8406,6391,6526,8477,7637,2168,7360,6890,2110,2518
+,1598,9869,4229,1727,7796,5190,7020,9651,4049,7576
-,1301,5205,5322,8760,739,2922,5006,7997,7108,6568
+,8519,3112,2152,2168,5425,7120,9408,9346,9383,5195
+,4509,952,8531,5291,8449,4918,4352,8652,7908,6148
+,6462,6793,3361,6946,7880,7747,1760,1895,8807,9640
+,9589,7615,319,9683,9536,9183,8499,4934,4129,7625
+,952,1965,7008,5574,9518,1987,7127,7207,3640,8194
+,7106,1020,4832,5535,6217,3209,2957,9443,3048,4089
+,7511,500,6524,9899,1909,946,9600,9583,9704,9708
+,3882,7726,1188,2003,4769,3180,4932,8453,8957,4891
+,4923,5841,3115,3126,7945,488,1026,3442,9732,6190
+,6929,9785,2493,5956,571,7868,2672,2071,9490,9949
-,291,6132,9736,2586,6080,929,8019,6684,7579,3174
+,7259,9874,6253,7570,5915,5696,2782,6767,7488,44
+,1853,8252,9380,2697,8324,7516,2126,9078,3024,6782
+,6366,6825,7143,1716,2431,3099,4255,3945,4180,7463
+,9592,1655,5469,5602,6604,7264,8197,8233,2587,7879
+,5079,2714,9949,2041,2229,4633,9627,7901,1182,1133
+,6544,6805,9117,1270,4555,4580,683,7008,1919,9069
+,8467,9763,4036,9140,9647,2017,5394,2404,24,1829
+,2720,3800,5157,4065,8532,8628,5943,6408,5225,6943
+,8269,6326,6803,4343,2562,340,4231,7978,9522,5901
+,748,7425,9346,8461,9410,7746,5363,6788,3158,2232
-,9601,7308,9031,6025,6317,9227,18,693,1229,2831
+,6247,1534,1111,9937,2438,8153,712,5791,9568,5334
+,5864,4233,3592,544,6997,9960,4720,66,1465,2690
+,7695,6643,3282,6270,5137,5818,4980,2790,4251,3152
+,6691,4712,9849,9262,6051,5207,6213,6484,1524,8269
+,1421,616,2373,1490,1311,4672,2903,7442,1044,2807
+,7301,4090,678,5812,7192,1724,1800,3033,2348,2677
+,9805,700,5391,422,179,201,4522,4308,1052,796
+,9528,5145,7670,8858,9356,5823,2,4300,6678,2835
+,4802,7720,4804,5013,5731,3104,5905,4761,3864,7385
+,5268,304,9461,8968,7134,1307,5388,8702,3302,4206
-,5705,8176,6933,975,4101,1508,9165,2674,2322,8284
+,5905,9928,5504,1496,1521,1082,141,100,7091,6498
+,1523,7700,3631,145,7691,5217,5264,7630,5332,334
+,1415,7003,7610,4219,7492,3869,5324,267,7728,6635
+,2476,6257,342,4588,9262,6254,6422,9502,8779,7415
+,7850,8716,430,6851,284,6792,4188,947,711,3410
+,5317,9580,7921,4829,1526,1344,9783,6498,2474,1528
+,8160,5735,7116,6224,4284,4609,850,7024,4726,4039
+,1427,9343,9195,2884,3530,6866,1697,4698,4364,7874
+,8045,6792,8444,7895,7843,1958,9599,8481,3825,7777
+,233,7068,2067,1188,502,3548,9332,7406,3480,8758
-,1102,9331,1142,312,1025,9623,1170,2592,1784,1131
+,1521,5653,7598,5079,7217,8985,3712,5766,7925,1772
+,4417,8772,3119,5,4424,8251,751,2937,6267,2071
+,6665,7679,597,8311,928,9878,7720,7195,3163,8429
+,5359,2707,3987,9140,1834,7540,6008,7965,6884,6355
+,7096,7345,407,753,2413,2224,1705,4289,87,572
+,6622,9163,5254,3820,6337,2308,6784,5180,4584,7559
+,4726,9423,6947,7964,6294,9914,6786,1314,6844,4152
+,2284,8844,1634,1682,7568,5915,6947,1016,8080,5523
+,1395,930,3206,3199,5067,7323,7363,5351,4563,7286
+,3343,391,4160,3824,6439,2552,8580,3266,8828,4749
-,4459,3998,9935,9291,6483,8107,4887,3876,8940,6027
+,9969,7861,8003,7547,9587,5680,6403,2279,4809,7133
+,1124,2743,8101,7588,851,6416,237,3299,3981,8290
+,9732,7832,6672,3806,1640,607,9695,7371,7588,4179
+,3517,6815,1724,8305,960,5578,2887,73,3341,1383
+,9498,6320,6498,8349,5881,1544,599,734,3834,1612
+,3724,5452,6049,1531,7367,3852,4730,9216,7463,8269
+,9833,4809,4671,1614,8011,4279,5812,9998,1332,7297
+,5229,3620,2618,6731,6991,9897,629,4300,5926,6435
+,1086,6244,4717,9005,9542,4432,9981,2481,9796,1028
+,7094,2063,3832,7681,7288,8191,5564,3019,4228,6779
-,6369,8244,9880,4128,6081,3837,8893,4300,1812,321
+,7189,5470,9587,6829,3310,2839,3249,3625,8302,8126
+,2818,6971,1846,1518,7651,6963,3971,9633,5506,1403
+,5656,3626,4979,3333,137,940,8409,5658,9686,2220
+,6305,3307,7073,5014,2573,519,1431,5368,1467,3890
+,8192,763,3924,4447,5243,8031,3020,5858,8290,3176
+,1940,3461,360,936,7294,2464,7994,3933,5983,6557
+,6659,8380,3449,2054,153,4192,1525,1074,8974,1459
+,6529,3738,5045,7184,708,4199,1108,1393,5497,1380
+,5143,9610,8701,4526,3513,2343,4509,7181,9396,710
+,4081,5502,9664,2088,4638,1451,3303,7834,7176,9872
-,231,6374,3323,1218,766,7828,2355,3189,9397,3326
+,8659,5809,8503,8657,5525,8995,8176,3883,6411,4274
+,3889,4052,4992,8114,169,6674,2340,5546,7637,9438
+,7056,5483,4011,9636,7323,3615,6413,1114,9563,3625
+,6460,9294,6846,702,7505,2512,1206,5049,427,7484
+,2368,2218,8694,339,1509,2907,476,4881,2859,4333
+,1556,3696,1009,679,3290,2657,361,4034,8458,1098
+,3040,5369,1975,7065,6356,409,43,6645,4702,7920
+,2972,9964,6694,9997,7496,2258,8398,5411,6193,6527
+,4570,253,3114,99,558,5056,3214,2743,4549,6084
+,6927,8168,4551,6351,2642,9753,5808,6091,7999,9519
-,1904,3997,103,5599,1889,8039,5567,4143,5952,5088
+,4300,4768,4493,6121,1080,9085,6867,1008,988,4045
+,9886,5934,3189,5023,3739,379,3495,2312,3893,5643
+,7806,7031,5370,3430,4965,2580,7241,8870,9002,802
+,5019,496,5709,2905,5508,5596,8837,8951,3480,7905
+,8634,8601,9168,6376,2828,8758,6579,1115,5233,3431
+,6590,1644,5872,3981,5757,5189,6901,8432,5826,9952
+,5712,7903,5685,8595,7949,506,7822,906,581,6260
+,4261,2231,8773,4444,2574,8949,9368,3519,5846,2533
+,4887,8514,3998,4152,6467,8521,44,8976,6805,9760
+,1333,4715,9272,867,6845,9090,9192,3147,2974,3952
-,5400,6596,5396,4657,8947,4727,696,9426,4728,4160
+,5737,6310,9627,9250,6650,6104,4342,8977,332,6138
+,50,8914,7813,4278,4145,6517,8548,748,6491,3410
+,4610,3052,5376,9938,7795,4372,5191,6094,9578,4709
+,3183,4187,9990,6246,18,7320,1486,3931,1722,8435
+,3963,7171,1354,2144,7254,7955,6222,2893,6760,7700
+,182,2669,4121,958,5047,5278,1303,7275,3497,6291
+,2514,4931,3836,1528,5780,5872,8487,5782,4194,7972
+,1240,4028,7557,7592,9197,3255,1325,5421,9943,8833
+,8771,2829,5872,2302,5671,1603,7731,3456,2764,7325
+,2348,2945,9402,2468,7660,7411,3626,2152,1437,4084
